    Hinst Name                                       Module Name                Inst Count           Total Area
------------------------------------------------------------------------------------------------------------
r29_int4                                                                              2051             8087.916
  counter_inst_14__u_counter_asyn/reg_gen_14__u_dreg dreg_225                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_15__u_dreg dreg_224                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_1__u_dreg  dreg_238                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_2__u_dreg  dreg_237                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_3__u_dreg  dreg_236                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_4__u_dreg  dreg_235                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_5__u_dreg  dreg_234                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_6__u_dreg  dreg_233                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_7__u_dreg  dreg_232                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_8__u_dreg  dreg_231                            2               11.732
  counter_inst_14__u_counter_asyn/reg_gen_9__u_dreg  dreg_230                            2               11.732
 counter_inst_15__u_counter_asyn                     counter_asyn_REG_SIZE16_13         48              225.264
  counter_inst_15__u_counter_asyn/reg_gen_0__u_dreg  dreg_223                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_10__u_dreg dreg_213                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_11__u_dreg dreg_212                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_12__u_dreg dreg_211                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_13__u_dreg dreg_210                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_14__u_dreg dreg_209                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_15__u_dreg dreg_208                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_1__u_dreg  dreg_222                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_2__u_dreg  dreg_221                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_3__u_dreg  dreg_220                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_4__u_dreg  dreg_219                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_5__u_dreg  dreg_218                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_6__u_dreg  dreg_217                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_7__u_dreg  dreg_216                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_8__u_dreg  dreg_215                            2               11.732
  counter_inst_15__u_counter_asyn/reg_gen_9__u_dreg  dreg_214                            2               11.732
 counter_inst_16__u_counter_asyn                     counter_asyn_REG_SIZE16_12         48              225.264
  counter_inst_16__u_counter_asyn/reg_gen_0__u_dreg  dreg_207                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_10__u_dreg dreg_197                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_11__u_dreg dreg_196                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_12__u_dreg dreg_195                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_13__u_dreg dreg_194                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_14__u_dreg dreg_193                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_15__u_dreg dreg_192                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_1__u_dreg  dreg_206                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_2__u_dreg  dreg_205                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_3__u_dreg  dreg_204                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_4__u_dreg  dreg_203                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_5__u_dreg  dreg_202                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_6__u_dreg  dreg_201                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_7__u_dreg  dreg_200                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_8__u_dreg  dreg_199                            2               11.732
  counter_inst_16__u_counter_asyn/reg_gen_9__u_dreg  dreg_198                            2               11.732
 counter_inst_17__u_counter_asyn                     counter_asyn_REG_SIZE16_11         48              225.264
  counter_inst_17__u_counter_asyn/reg_gen_0__u_dreg  dreg_191                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_10__u_dreg dreg_181                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_11__u_dreg dreg_180                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_12__u_dreg dreg_179                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_13__u_dreg dreg_178                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_14__u_dreg dreg_177                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_15__u_dreg dreg_176                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_1__u_dreg  dreg_190                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_2__u_dreg  dreg_189                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_3__u_dreg  dreg_188                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_4__u_dreg  dreg_187                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_5__u_dreg  dreg_186                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_6__u_dreg  dreg_185                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_7__u_dreg  dreg_184                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_8__u_dreg  dreg_183                            2               11.732
  counter_inst_17__u_counter_asyn/reg_gen_9__u_dreg  dreg_182                            2               11.732
 counter_inst_18__u_counter_asyn                     counter_asyn_REG_SIZE16_10         48              225.264
  counter_inst_18__u_counter_asyn/reg_gen_0__u_dreg  dreg_175                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_10__u_dreg dreg_165                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_11__u_dreg dreg_164                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_12__u_dreg dreg_163                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_13__u_dreg dreg_162                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_14__u_dreg dreg_161                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_15__u_dreg dreg_160                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_1__u_dreg  dreg_174                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_2__u_dreg  dreg_173                            2               11.732
  counter_inst_18__u_counter_asyn/reg_gen_3__u_dreg  dreg_172                            2               11.732
